,time,news_provider,related_instrument,headline,date
3,22:43:47,COIDES,BTC=,"Bevy of Economic Data Barely Stirs Bitcoin, Ether",2023-03-31
4,22:26:06,COIDES,BTC=,Bitcoin Is Still in Its 'Safe Haven Period': Analyst,2023-03-31
7,22:10:44,COIDES,V.N,Visa and Bitcoin Rewards App Fold Expand Partnership to New Regions,2023-03-31
8,21:45:56,COIDES,USD= BTC=,First Mover Americas: Investors Dig Risk Again,2023-03-31
9,21:35:39,COIDES,BTC=,BNB Chain-Based DEX Level Finance Votes on Transferring $200M to Treasury,2023-03-31
11,20:25:43,COIDES,BTC= LTC=,First Mover Asia: Bitcoin Rises Over $28.3K Despite Binance Legal Woes,2023-03-31
12,20:10:54,COIDES,COIN.O,Former Facebook deputy general counsel Paul Grewal is joining Coinbase as its new chief legal officer. (Coinbase),2023-03-31
14,19:50:08,COIN,ETH= BTC=,"Web3 Should Be Built on Bitcoin, Not Its Imitators",2023-03-31
16,19:45:47,COIDES,BTC=,Cryptos Gained in Q1 Despite Weakened Asset Class Perceptions,2023-03-31
17,19:45:38,COIDES,BTC=,Crypto Update | Crypto's Regulatory Cold War,2023-03-31
18,19:40:59,COIDES,SDIG.O,Bitcoin Miner Stronghold Raises Year-End Hashrate Guidance to 4 EH/s,2023-03-31
19,19:17:41,COIDES,BTC=,"First Mover Americas: Bitcoin, Up 70% This Year, Rebounds Past $28K",2023-03-31
20,18:46:11,COIDES,BTC=,"Bitcoin Heads for Best Quarter in Two Years, Outperforms Ether, Gold, Nasdaq",2023-03-31
21,18:44:20,COIDES,BTC=,Bitcoin Regains $28K; XRP Surges for a Second Day,2023-03-31
22,18:31:48,COIN,BTC=,"Bitcoin Drops Below $28K as Options Expire, Traders Borrow WBTC From Aave",2023-03-31
25,17:35:58,COIDES,BTC=,Bitcoin Seesaws Around $27K as Investors Digest Binance-CFTC Lawsuit,2023-03-31
26,17:35:51,COIDES,BTC=,"On-Chain Stablecoin, Profitability Ratios Signal Investor Caution",2023-03-31
27,17:15:45,COIDES,BTC=,Why Bitcoin Is Your Best Bet Against Inflation,2023-03-31
28,15:40:50,COIDES,BTC=,First Mover Americas: Bitcoin Drops on CFTC's Suit vs. Binance,2023-03-31
29,15:20:49,COIDES,BTC=,"CFTC-Binance Lawsuit Could Worsen Crypto Market Liquidity, Pull Bitcoin Down to $25K: Observers",2023-03-31
32,14:51:49,COIDES,BTC= LTC=,XRP Surges to Five-Month High as Some Point to Bitcoin Commodities Mention,2023-03-31
33,14:25:40,COIDES,BTC= LTC=,Binance CEO Zhao Calls CFTC Suit an 'Incomplete Recitation of Facts',2023-03-31
34,14:06:02,COIDES,BTC=,Bitcoin Sinks Below $27K After CFTC Files Suit Against Binance,2023-03-31
39,13:27:31,COIDES,BTC=,Crypto Exchange Binance and CEO Changpeng Zhao Sued by CFTC Over Regulatory Violations,2023-03-31
40,13:25:56,COIDES,BTC= LTC=,"CFTC Sues Binance, CZ Over 'Willful Evasion' of U.S. Laws, Unregistered Crypto Derivatives Products",2023-03-31
41,13:09:12,COIDES,MSTR.O,"MicroStrategy Pays Off Silvergate Loan, Buys More Bitcoin",2023-03-31
42,12:25:38,COIDES,BTC=,Crypto Lender Kokomo's Developers Use Wrapped Bitcoin for $4M 'Exit Scam',2023-03-31
45,10:02:22,COIN,XRP= ETP=,"First Mover Asia: Bitcoin Hovers Around $28,000",2023-03-31
48,05:46:52,COIN,WULF.O BTC=,Bitcoin Miner TeraWulf Reports 146% Increase in Revenue as It Ramps Up Operations,2023-03-31
50,04:19:15,COIN,BTC=,Refinitiv Newscasts - Data Suggests Whales Are Taking Profits as Bitcoin Price Rally Stalls,2023-03-31
51,03:26:33,COIN,BTC=,Bitcoin Is Still in Its ‘Safe Haven Period’: Analyst,2023-03-31
52,00:25:20,COIN,V.N BTC=,Visa and Bitcoin Rewards App Fold Expand Partnership to New Regions,2023-03-31
53,00:25:20,COIN,BTC=,Crypto Custody Firm BitGo Releases Security Features Aimed at Bitcoin Ordinals,2023-03-31
55,23:41:44,COIN,BTC=,Refinitiv Newscasts - Bitcoin Rises Above $28.5K Despite Binance's Legal Woes,2023-03-30
56,23:31:36,COIN,BTC=,Refinitiv Newscasts - Bitcoin Rallies Over 20% in Past Month,2023-03-30
57,23:18:59,COIN,BTC=,CoinDesk Editorial: It Sure Looks Like the U.S. Is Trying to Kill Crypto,2023-03-30
58,20:48:10,COIN,USD= BTC=,First Mover Americas: Investors Dig Risk Again,2023-03-30
59,20:28:01,COIN,BTC=,BNB Chain-Based DEX Level Finance Votes on Transferring $200M to Treasury,2023-03-30
60,19:51:42,COIN,BTC=,Bitcoin Volatility Likely as Options Worth $4B Expire on Friday,2023-03-30
61,17:15:15,COIN,XRP= BTC=,XRP Trading Volumes Surges to Billions of Dollars on South Korean Crypto Exchanges,2023-03-30
62,16:43:55,COIN,XRP= BTC=,Bitcoin Price Rally Stalls as Whales Take Profits: CryptoQuant,2023-03-30
63,08:24:27,COIN,XRP= LTC=,First Mover Asia: Bitcoin Rises Over $28.3K Despite Binance Legal Woes,2023-03-30
67,04:14:39,COIN,NYCB.N,Refinitiv Newscasts - Bitcoin Spikes Above $28K; SBF’s Attorney Fees Paid by His Father With Gifted Alameda Funds: Forbes,2023-03-30
68,01:03:21,COIN,BTC=,The Short-Sightedness of Run-Amok Regulators,2023-03-30
69,00:43:20,COIN,BTC=,Cryptos Gained in Q1 Despite Weakened Asset Class Perceptions,2023-03-30
71,23:51:08,COIN,SDIG.O BTC=,Bitcoin Miner Stronghold Raises Year-End Hashrate Guidance to 4 EH/s,2023-03-29
72,23:14:37,COIN,SIVBQ.PK JPM.N,Refinitiv Newscasts - Bitcoin Recovers Above Key $28K Level,2023-03-29
73,21:54:47,COIN,XRP= USD=,Open Interest in XRP Surges to $800M as Crypto Traders Hope Ripple-SEC Verdict Will Bring 'Alt Season',2023-03-29
74,20:43:25,COIN,BTC=,"First Mover Americas: Bitcoin, Up 70% This Year, Rebounds Past $28K",2023-03-29
75,17:52:37,COIN,BTC= .IXIC,"Bitcoin Heads for Best Quarter in Two Years, Outperforms Ether, Gold, Nasdaq",2023-03-29
76,16:14:20,COIN,XRP= ETH=,Bitcoin Regains $28K; XRP Surges for a Second Day,2023-03-29
77,10:10:14,COIN,ETP= ETH=,First Mover Asia: Will CFTC's Action Against Binance Benefit Crypto’s Asia Narrative?,2023-03-29
78,06:05:31,COIN,BTC=,NFT Collection Y00ts Makes Anticipated Move From Solana to Polygon,2023-03-29
79,05:48:31,COIN,ETH= BTC=,Bitcoin Layer 2 Stacks' Token a Top Performer in March,2023-03-29
80,04:42:15,COIN,COIN.O,Refinitiv Newscasts - How CFTC-Binance Lawsuit Could Impact Bitcoin; Binance’s BUSD Stablecoin Suffers $500M in Outflows,2023-03-29
81,04:15:10,COIN,XRP= BTC=,Bitcoin Seesaws Around $27K as Investors Digest Binance-CFTC Lawsuit,2023-03-29
82,04:15:10,COIN,BTC=,Zebedee Debuts Global Payment Service Powered by Bitcoin’s Lightning Network,2023-03-29
83,01:58:36,COIN,COIN.O,Refinitiv Newscasts - XRP Touches Five-Month High as Some Point to Bitcoin Commodities Mention,2023-03-29
84,01:56:29,COIN,BTC=,Why Bitcoin Is Your Best Bet Against Inflation,2023-03-29
85,00:55:06,COIN,BTC=,Fear and Greed Index Pulls Back After Hitting 'Greediest' Level Since Late 2021,2023-03-29
87,23:51:08,COIN,BTC= 002407.SZ,Refinitiv Newscasts - Bitcoin Dips Below $27K Amid CFTC Case Against Binance,2023-03-28
88,20:54:08,COIN,ETH= BTC=,First Mover Americas: Bitcoin Drops on CFTC’s Suit vs. Binance,2023-03-28
89,19:16:43,COIN,ETH= BTC=,"CFTC-Binance Lawsuit Could Worsen Crypto Market Liquidity, Pull Bitcoin Down to $25K: Observers",2023-03-28
90,18:27:42,COIN,BTC= ATM=,Newly Formed ZeroSync Association Brings Zero-Knowledge Proofs to Bitcoin,2023-03-28
91,16:10:09,COIN,BTC=,CFTC Could Force Binance to Cease U.S. Operations as Part of Settlement: Bernstein,2023-03-28
92,15:41:35,COIN,XRP= FIVE.O,XRP Surges to Five-Month High as Some Point to Bitcoin Commodities Mention,2023-03-28
93,10:37:03,COIN,BTC= BNB=,"First Mover Asia: China’s State-Owned Banks Are Soliciting Hong Kong Crypto Business, but Opening an Account Is Hard",2023-03-28
94,08:36:59,COIN,BTC=,Binance CEO Zhao Calls CFTC Suit an ‘Incomplete Recitation of Facts’,2023-03-28
95,05:20:20,COIN,ETH= BTC=,Macro Is Back to Moving the Digital Asset Markets,2023-03-28
97,04:36:50,COIN,MS.N,Refinitiv Newscasts - Bitcoin Briefly Slips Below $27K as CFTC Sues Binance,2023-03-28
98,04:32:26,COIN,USD= SI.N,Refinitiv Newscasts - Aab 0327 Top,2023-03-28
99,04:27:58,COIN,LTC= BTC=,Bitcoin Sinks Below $27K After CFTC Files Suit Against Binance,2023-03-28
100,02:03:53,COIN,XRP= BTC=,The ‘Skull of Satoshi’ Proves Bitcoin Mining Discourse Isn’t Dead,2023-03-28
101,01:12:51,COIN,USDT= BTC=,Binance Bitcoin Trading Volume Hits Lowest Level in 8 Months Following Termination of Zero-Fee Trading,2023-03-28
102,00:09:50,COIN,IOT= ETH=,"Illia Polosukhin: Building Near's Blockchain, Embedding AI",2023-03-28
